ID,price1,price2,capacity1,capacity2,energy1,energy2,safety1,safety2,original_choice
14,38000.0,47500.0,400.0,400.0,0.7,0.7,80.0,80.0,2
274,33250.0,42750.0,400.0,700.0,0.5,0.7,90.0,90.0,1
108,38000.0,42750.0,700.0,400.0,0.7,0.6,70.0,70.0,1
392,38000.0,42750.0,600.0,400.0,0.4,0.4,90.0,70.0,2
315,38000.0,38000.0,700.0,400.0,0.8,0.6,80.0,70.0,3
71,38000.0,42750.0,400.0,400.0,0.5,0.4,80.0,70.0,1
154,38000.0,33250.0,600.0,600.0,0.8,0.5,90.0,80.0,2
376,33250.0,38000.0,400.0,500.0,0.5,0.4,90.0,80.0,1
423,38000.0,38000.0,600.0,500.0,0.7,0.7,70.0,90.0,2
367,33250.0,42750.0,400.0,500.0,0.5,0.8,90.0,80.0,2
201,38000.0,38000.0,400.0,600.0,0.4,0.8,70.0,70.0,1
145,38000.0,38000.0,600.0,500.0,0.8,0.4,90.0,80.0,1
77,33250.0,38000.0,400.0,500.0,0.8,0.4,70.0,80.0,3
319,38000.0,38000.0,500.0,600.0,0.4,0.8,80.0,80.0,1
107,38000.0,38000.0,700.0,400.0,0.7,0.6,70.0,90.0,2
195,38000.0,47500.0,400.0,700.0,0.4,0.5,70.0,80.0,1
407,33250.0,38000.0,700.0,400.0,0.4,0.6,80.0,70.0,1
105,38000.0,42750.0,400.0,600.0,0.7,0.7,80.0,80.0,1
271,38000.0,42750.0,400.0,500.0,0.5,0.5,80.0,70.0,1
404,33250.0,38000.0,500.0,400.0,0.7,0.7,90.0,80.0,1
397,33250.0,38000.0,700.0,400.0,0.4,0.5,80.0,80.0,1
345,33250.0,38000.0,600.0,400.0,0.5,0.4,70.0,70.0,1
263,33250.0,38000.0,600.0,500.0,0.5,0.8,80.0,70.0,1
177,38000.0,47500.0,700.0,400.0,0.6,0.7,70.0,80.0,3
214,38000.0,47500.0,700.0,600.0,0.6,0.5,70.0,70.0,2
172,33250.0,33250.0,600.0,400.0,0.4,0.5,70.0,90.0,3
144,38000.0,47500.0,700.0,500.0,0.6,0.4,70.0,80.0,3
279,38000.0,33250.0,500.0,600.0,0.4,0.4,80.0,70.0,2
513,33250.0,38000.0,700.0,400.0,0.8,0.6,90.0,90.0,2
466,38000.0,47500.0,400.0,600.0,0.6,0.7,70.0,80.0,2
403,38000.0,38000.0,500.0,600.0,0.4,0.7,80.0,70.0,3
545,38000.0,38000.0,400.0,600.0,0.6,0.8,90.0,90.0,1
15,38000.0,33250.0,400.0,700.0,0.5,0.5,80.0,80.0,1
328,38000.0,47500.0,500.0,400.0,0.8,0.6,70.0,90.0,3
112,38000.0,38000.0,400.0,700.0,0.7,0.8,80.0,80.0,3
273,38000.0,33250.0,600.0,400.0,0.4,0.5,90.0,90.0,1
154,38000.0,42750.0,700.0,500.0,0.6,0.5,70.0,90.0,2
435,38000.0,47500.0,400.0,600.0,0.6,0.7,70.0,70.0,2
253,38000.0,38000.0,400.0,400.0,0.5,0.4,80.0,70.0,3
350,33250.0,38000.0,400.0,700.0,0.7,0.6,80.0,70.0,3
135,33250.0,42750.0,400.0,600.0,0.8,0.8,70.0,80.0,3
138,38000.0,42750.0,700.0,500.0,0.6,0.5,70.0,70.0,2
384,33250.0,42750.0,700.0,600.0,0.5,0.8,80.0,90.0,3
386,33250.0,47500.0,500.0,600.0,0.7,0.7,90.0,80.0,2
330,38000.0,38000.0,700.0,600.0,0.8,0.8,80.0,80.0,3
460,38000.0,42750.0,600.0,500.0,0.7,0.7,70.0,80.0,1
236,38000.0,47500.0,400.0,700.0,0.5,0.5,80.0,80.0,3
421,38000.0,38000.0,600.0,600.0,0.7,0.8,70.0,90.0,1
250,38000.0,47500.0,600.0,600.0,0.8,0.6,90.0,80.0,2
297,38000.0,33250.0,700.0,400.0,0.8,0.8,80.0,70.0,3
232,38000.0,47500.0,700.0,400.0,0.6,0.6,70.0,90.0,3
186,38000.0,47500.0,600.0,400.0,0.8,0.4,80.0,80.0,2
161,33250.0,47500.0,600.0,500.0,0.5,0.6,80.0,80.0,1
203,38000.0,38000.0,400.0,600.0,0.5,0.8,80.0,70.0,3
192,38000.0,42750.0,400.0,600.0,0.4,0.8,70.0,90.0,1
306,33250.0,42750.0,600.0,400.0,0.5,0.4,70.0,70.0,1
326,38000.0,47500.0,500.0,500.0,0.4,0.4,80.0,80.0,2
339,38000.0,33250.0,700.0,400.0,0.8,0.8,80.0,70.0,2
252,38000.0,47500.0,700.0,500.0,0.6,0.4,70.0,80.0,2
6,33250.0,42750.0,500.0,400.0,0.6,0.4,70.0,90.0,1
354,33250.0,42750.0,700.0,700.0,0.5,0.5,80.0,70.0,2
173,38000.0,47500.0,600.0,500.0,0.8,0.8,90.0,80.0,3
268,33250.0,33250.0,600.0,500.0,0.4,0.7,70.0,90.0,2
337,33250.0,38000.0,600.0,600.0,0.5,0.8,70.0,80.0,1
419,38000.0,47500.0,600.0,400.0,0.7,0.7,70.0,80.0,1
377,38000.0,38000.0,500.0,600.0,0.4,0.8,80.0,70.0,1
396,33250.0,38000.0,700.0,600.0,0.5,0.8,80.0,80.0,1
46,33250.0,38000.0,400.0,400.0,0.8,0.7,70.0,80.0,3
402,33250.0,47500.0,500.0,500.0,0.7,0.4,90.0,80.0,2
419,33250.0,33250.0,700.0,500.0,0.8,0.6,90.0,70.0,3
377,38000.0,38000.0,500.0,500.0,0.8,0.7,70.0,90.0,3
148,38000.0,38000.0,600.0,400.0,0.8,0.7,80.0,80.0,3
291,33250.0,42750.0,400.0,400.0,0.5,0.6,90.0,80.0,3
259,33250.0,38000.0,500.0,600.0,0.6,0.4,80.0,90.0,2
505,38000.0,38000.0,400.0,400.0,0.6,0.7,90.0,80.0,1
84,38000.0,42750.0,600.0,700.0,0.8,0.6,70.0,70.0,3
382,33250.0,38000.0,500.0,700.0,0.7,0.7,90.0,70.0,1
390,38000.0,47500.0,500.0,400.0,0.4,0.7,80.0,80.0,1
530,38000.0,47500.0,400.0,600.0,0.6,0.7,70.0,80.0,2
285,33250.0,33250.0,700.0,500.0,0.5,0.6,80.0,80.0,2
106,38000.0,42750.0,400.0,700.0,0.5,0.6,80.0,70.0,1
109,38000.0,38000.0,400.0,600.0,0.5,0.8,80.0,70.0,1
106,38000.0,38000.0,400.0,400.0,0.7,0.6,80.0,90.0,2
516,38000.0,47500.0,600.0,500.0,0.7,0.8,70.0,80.0,1
261,38000.0,38000.0,700.0,600.0,0.6,0.8,70.0,80.0,2
358,33250.0,42750.0,700.0,400.0,0.5,0.4,80.0,70.0,3
7,33250.0,33250.0,400.0,400.0,0.8,0.8,70.0,70.0,3
347,33250.0,33250.0,700.0,500.0,0.4,0.6,80.0,80.0,1
361,33250.0,42750.0,500.0,600.0,0.7,0.8,90.0,80.0,3
78,38000.0,33250.0,400.0,400.0,0.7,0.8,80.0,70.0,2
